species,label,formula,role,protonation,metal,charge,multiplicity,unpaired_electrons,unrestricted,n_atoms,method,solvation,opt_level,conformer_search,conformers_unique,conformers_within_3kcal,E_xtb_Eh,E_xtb_kJ_per_mol,is_report_quantity,source_file
cu_P0_cplx,[Cu(LH2)(H2O)4]2+,C8H16O9Cu1,product,P0,Cu,+2,2,1,true,34,GFN2-xTB,ALPB(water),tight,"systematic torsion enumeration (3 torsions, 8 start geometries) + 12 seeded random water reorientations + GFN2-xTB/ALPB(water) opt-tight",10,9,-65.23012349,-171261.666,no,cu_P0_cplx.xyz
cu_P1_cplx,[Cu(LH)(H2O)4]1+,C8H15O9Cu1,product,P1,Cu,+1,2,1,true,33,GFN2-xTB,ALPB(water),tight,"systematic torsion enumeration (2 torsions, 4 start geometries) + 12 seeded random water reorientations + GFN2-xTB/ALPB(water) opt-tight",14,12,-65.06541924,-170829.235,no,cu_P1_cplx.xyz
cu_P2_cplx,[Cu(L)(H2O)4]0,C8H14O9Cu1,product,P2,Cu,+0,2,1,true,32,GFN2-xTB,ALPB(water),tight,"systematic torsion enumeration (2 torsions, 4 start geometries) + 12 seeded random water reorientations + GFN2-xTB/ALPB(water) opt-tight",15,12,-64.87665156,-170333.625,no,cu_P2_cplx.xyz
cu_aquo6,[Cu(H2O)6]2+,H12O6Cu1,reactant,n-a,Cu,+2,2,1,true,19,GFN2-xTB,ALPB(water),tight,"systematic torsion enumeration (0 torsions, 1 start geometries) + 20 seeded random water reorientations + GFN2-xTB/ALPB(water) opt-tight",16,16,-33.83911617,-88844.587,no,cu_aquo6.xyz
lig_P0_LH2,"LH2 (methyl gallate, neutral)",C8H8O5,ligand,P0,none,+0,1,0,false,21,GFN2-xTB,ALPB(water),tight,"systematic torsion enumeration (4 torsions, 16 start geometries) + RDKit ETKDGv3 (60 unpruned embeddings) + MMFF94 + GFN2-xTB/ALPB(water) opt-tight",22,13,-41.57953966,-109167.066,no,lig_P0_LH2.xyz
lig_P1_LH1m,LH- (mono-deprotonated at the 4-OH),C8H7O5,ligand,P1,none,-1,1,0,false,20,GFN2-xTB,ALPB(water),tight,"systematic torsion enumeration (3 torsions, 8 start geometries) + RDKit ETKDGv3 (60 unpruned embeddings) + MMFF94 + GFN2-xTB/ALPB(water) opt-tight",10,2,-41.37635180,-108633.597,no,lig_P1_LH1m.xyz
lig_P2_L2m,"L2- (3,4-bis-deprotonated catecholate)",C8H6O5,ligand,P2,none,-2,1,0,false,19,GFN2-xTB,ALPB(water),tight,"systematic torsion enumeration (2 torsions, 4 start geometries) + RDKit ETKDGv3 (60 unpruned embeddings) + MMFF94 + GFN2-xTB/ALPB(water) opt-tight",4,2,-41.13724270,-108005.816,no,lig_P2_L2m.xyz
pb_P0_cplx,[Pb(LH2)(H2O)4]2+,C8H16O9Pb1,product,P0,Pb,+2,1,0,false,34,GFN2-xTB,ALPB(water),tight,"systematic torsion enumeration (2 torsions, 4 start geometries) + 12 seeded random water reorientations + GFN2-xTB/ALPB(water) opt-tight",11,2,-63.68344155,-167200.853,no,pb_P0_cplx.xyz
pb_P1_cplx,[Pb(LH)(H2O)4]1+,C8H15O9Pb1,product,P1,Pb,+1,1,0,false,33,GFN2-xTB,ALPB(water),tight,"systematic torsion enumeration (2 torsions, 4 start geometries) + 12 seeded random water reorientations + GFN2-xTB/ALPB(water) opt-tight",12,12,-63.49989763,-166718.958,no,pb_P1_cplx.xyz
pb_P2_cplx,[Pb(L)(H2O)4]0,C8H14O9Pb1,product,P2,Pb,+0,1,0,false,32,GFN2-xTB,ALPB(water),tight,"systematic torsion enumeration (2 torsions, 4 start geometries) + 12 seeded random water reorientations + GFN2-xTB/ALPB(water) opt-tight",15,15,-63.30705689,-166212.655,no,pb_P2_cplx.xyz
pb_aquo6,[Pb(H2O)6]2+,H12O6Pb1,reactant,n-a,Pb,+2,1,0,false,19,GFN2-xTB,ALPB(water),tight,"systematic torsion enumeration (0 torsions, 1 start geometries) + 20 seeded random water reorientations + GFN2-xTB/ALPB(water) opt-tight",17,17,-32.29152179,-84781.379,no,pb_aquo6.xyz
pb_aquo8,[Pb(H2O)8]2+,H16O8Pb1,reactant,n-a,Pb,+2,1,0,false,25,GFN2-xTB,ALPB(water),tight,"systematic torsion enumeration (0 torsions, 1 start geometries) + 20 seeded random water reorientations + GFN2-xTB/ALPB(water) opt-tight",21,21,-42.49043365,-111558.618,no,pb_aquo8.xyz
water,H2O,H2O1,product,n-a,none,+0,1,0,false,3,GFN2-xTB,ALPB(water),tight,"systematic torsion enumeration (0 torsions, 1 start geometries) + GFN2-xTB/ALPB(water) opt-tight",1,1,-5.08502109,-13350.721,no,water.xyz
zn_P0_cplx,[Zn(LH2)(H2O)4]2+,C8H16O9Zn1,product,P0,Zn,+2,1,0,false,34,GFN2-xTB,ALPB(water),tight,"systematic torsion enumeration (2 torsions, 4 start geometries) + 12 seeded random water reorientations + GFN2-xTB/ALPB(water) opt-tight",9,4,-61.94823246,-162645.062,no,zn_P0_cplx.xyz
zn_P1_cplx,[Zn(LH)(H2O)4]1+,C8H15O9Zn1,product,P1,Zn,+1,1,0,false,33,GFN2-xTB,ALPB(water),tight,"systematic torsion enumeration (2 torsions, 4 start geometries) + 12 seeded random water reorientations + GFN2-xTB/ALPB(water) opt-tight",9,9,-61.76648637,-162167.888,no,zn_P1_cplx.xyz
zn_P2_cplx,[Zn(L)(H2O)4]0,C8H14O9Zn1,product,P2,Zn,+0,1,0,false,32,GFN2-xTB,ALPB(water),tight,"systematic torsion enumeration (2 torsions, 4 start geometries) + 12 seeded random water reorientations + GFN2-xTB/ALPB(water) opt-tight",11,10,-61.57462753,-161664.162,no,zn_P2_cplx.xyz
